SBI 3175,1143933,9
SCF 6432,972380,9
SBJ 5675,1166973,9
NAC 3290,32526,5
SAQ 3591,482751,9
LKA 1218,29730,3
SBI 8028,1153913,9
SAA 4559,920730,9
SBJ 2774,1161216,9
AAA 6892,255098,1
SAJ 2603,505367,9
AAC-4209,425000,1
SAF 1535,417299,9
SAU 6322,511638,9
ATA 1211,354811,1
JAD 472,116458,12
AAI 6220,263577,1
SCW 571,1045862,9
ATM 5582,128220,1
JYO 0007,135526,12
KDA011,35910,16
SCA 2003,1171599,9
SAX 8572,432755,9
SBH 3768,1122052,9
SAU 8204,479001,9
ARE 351,221764,1
SBW 2537,420023,9
FAL 1025,7167,11
RAD 2698,90885,17
SAD 1118,951340,9
SBE 6974,449434,9
SAQ 7543,440092,9
SBG 3851,1099759,9
AAD 5331,311938,1
B538501,453792,8
DAA 6511,900020561,18
SBC 7510,438642,9
MAB8226,127964,15
B558119,516740,8
B519508,410394,8
SAR 7854,425893,9
AAG 1716,733745,1
SBF 8287,1035375,9
SAB 8026,937900,9
NCD 3783,106289,5
LEA 4713,103690,3
HAD 710,143071,14
SBH 9132,973125,9
AAH 1305,264936,1
SBG 9201,1112326,9
SBL 790,976453,9
DAA 2579,900018911,18
ATP 1259,366411,1
ARH 592,721519,1
SFC 674,1126488,9
SBG 7112,998040,9
LBA 401,76320,3
AAG 2050,279832,1
LBA 4597,97930,3
B600102,488515,8
PAA 8023,21718,7
AAC 6893,239675,1
SAV 3637,411396,9
SAB 4333,922363,9
SBH 8902,1135690,9
IAA 4373,342335,10
LKA 1890,26870,3
SBJ 4110,1163435,9
SBP 8688,414137,9
QAA 1363,2698001,4
SBI 5799,1149376,9
SAA 4787,489580,9
HAB 9054,144110,14
PAA 8221,25790,7
MAA3493,51802,15
SBB 3452,977164,9
B539314,432260,8
ARQ 583,728780,1
MAB6044,99117,15
SAG 4635,463037,9
AAE 3882,219352,1
RAF825,98960,17
SFG 624,1132142,9
SIS 684,1139210,9
SAH 7094,413034,9
SBJ 3960,1163405,9
HAK 781,114831,14
APO 317,381806,1
SBK 4781,1185719,9
NAJ 1617,37826,5
AAB 5166,250754,1
SAC 2663,942085,9
DAN 316,36824,18
SBJ 2553,1160798,9
STC 3146,1111057,9
SAH 3557,510391,9
B500269,394412,8
AAD 6343,78121,1
PAB 3826,107752,7
AQR 929,349871,1
LJA 1037,39240,3
SAQ 9749,415757,9
HAT 345,149069,14
SCE 3563,1181588,9
SBK 2629,1180270,9
SBA 9632,414087,9
IAC 4933,341083,10
SAE 7405,474241,9
B513615,401200,8
SEE 385,1090069,9
SEB 839,1088133,9
SAC 6768,922924,9
SBH 1015,1114439,9
CCV 943,1057155,13
AAP 2540,320016,1
LCE 513,96110,3
SAW 2999,416884,9
BBK403,496845,8
SCE 7128,1157284,9
B582854,405461,8
FRA 7881,4530,11
SAS 8754,256484,9
B545170,469351,8
IAA 7820,341156,10
AAA-9438,267712,1
QAB 1164,709302,4
SBF 3849,1069960,9
SAK 7156,495605,9
SAI 9127,400493,9
AAE 3041,249255,1
SCF 1150,1125912,9
SFP 237,1146242,9
SDP 616,1072230,9
SFF 301,1130174,9
SBB 4746,990564,9
SBH 5997,426218,9
JYO 1695,107287,12
SCO 7518,1140707,9
SAA 4326,920372,9
B542727,463906,8
FRA 8237,6023,11
AAH 7335,240056,1
AAC 3342,403681,1
NCD 3691,110132,5
SEU 430,1114201,9
SFF 511,1130474,9
AAB-2413,333465,1
SAO 5279,415373,9
CCB 2576,6461,13
ASD 146,744466,1
APZ 432,428569,1
STC 2010,1137941,9
SBI 5523,1148854,9
CCB 7605,1015402,13
DAA 9837,80641,18
SAS 9519,361051,9
B555745,501175,8
SAB 9387,939508,9
SBE 5933,1047327,9
SAV 7856,298036,9
AAG 6015,273010,1
PAA 6488,105887,7
SBR 5815,1148403,9
APN 962,380740,1
FTP 2313,6326,11
MAC9101,47280,15
JYO 2752,128635,12
JFB 5738,127540,12
SAV 9951,443829,9
AAW 6887,268327,1
SBG 5165,1102674,9
NAD 4750,100275,5
OAA 3936,26997,6
SAA 2941,998583,9
SFU 577,1157127,9
AAD 7457,257918,1
SAH 7574,902163,9
SAJ 9407,384639,9
SBJ 7243,1170235,9
SAN 4847,398303,9
LFE 243,114590,3
SBI 3977,1145892,9
DAV 047,1598,18
SFT 90,1153855,9
BAZ090,475560,8
SBH 9821,1014647,9
AAD-2563,319802,1
SAX 1339,964669,9
SAC 1252,940513,9
SBK 4561,1185194,9
MAI048,91734,15
SAB 4626,933996,9
